index,publishingCountryCode,publishingCountry,Total Occurrences,Unique Sharks (with ID),Top 3 Countries Visited,Avg Per Year (all),Avg Per Year (after 2020),Avg Per Year (2010 - 2020),Avg Per Year (2000 - 2010),Avg Per Year (before 2000),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HUMAN_OBSERVATION,MACHINE_OBSERVATION,Oldest Occurrence,Newest Occurrence,occurrences (year)
0,AR,Argentina,4,4,Mexico,1.33,1.0,1.5,,,0,0,0,0,0,0,4,0,0,0,0,0,4,0,2016-07-23,2022-07-06,"1 (2016), 2 (2020), 1 (2022)"
1,AU,Australia,1253,199,Australia > Indonesia > Philippines,48.19,19.83,100.82,3.0,3.0,42,28,81,88,97,108,171,38,115,115,99,26,332,745,1964-04,2026-01-03,"2 (1964), 1 (1965), 1 (1993), 8 (1995), 1 (2000), 1 (2003), 1 (2005), 4 (2008), 6 (2009), 5 (2010), 193 (2011), 44 (2012), 267 (2013), 97 (2014), 54 (2015), 133 (2016), 240 (2017), 32 (2018), 25 (2019), 19 (2020), 42 (2021), 38 (2022), 12 (2023), 14 (2024), 12 (2025), 1 (2026)"
2,BE,Belgium,4,0,Spain > Mexico,1.0,1.0,1.0,1.0,,0,0,1,1,0,0,0,0,1,0,1,0,3,1,2003-03-31,2023-04-25,"1 (2003), 1 (2015), 1 (2017), 1 (2023)"
3,BJ,Benin,5,0,Benin,1.0,,,1.0,,0,0,0,0,1,1,2,1,0,0,0,0,5,0,2000-07-09,2009-05-24,"1 (2000), 1 (2002), 1 (2005), 1 (2007), 1 (2009)"
4,BR,Brazil,1,0,Brazil,1.0,,,1.0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2002-08-01,2002-08-01,1 (2002)
5,CA,Canada,22,21,Mexico > Philippines > Australia,1.69,2.2,1.5,1.0,1.0,1,7,3,2,0,1,3,2,0,0,1,2,21,0,1995-07-15,2025-03-29,"1 (1995), 1 (2009), 1 (2010), 1 (2011), 1 (2012), 1 (2014), 1 (2018), 4 (2019), 1 (2021), 1 (2022), 4 (2023), 4 (2024), 1 (2025)"
6,CL,Chile,1,1,Mexico,1.0,,1.0,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2018-11-10,2018-11-10,1 (2018)
7,CO,Colombia,19,5,Colombia > Honduras > Mexico,2.71,2.0,4.0,1.0,,0,0,1,1,3,1,7,2,1,0,1,0,19,0,2006-11-14,2024,"1 (2006), 1 (2010), 6 (2018), 5 (2019), 2 (2021), 2 (2022), 2 (2024)"
8,CR,Costa Rica,2,2,Costa Rica,1.0,,1.0,,,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2016-06-14,2019-07-11,"1 (2016), 1 (2019)"
10,EC,Ecuador,2818,61,Ecuador > Peru > Costa Rica,281.8,1.0,402.14,,,293,76,16,1,2,0,242,297,601,587,412,291,5,2813,2011-07-14,2025-05-26,"20 (2011), 19 (2012), 54 (2013), 241 (2014), 1137 (2015), 1222 (2016), 122 (2017), 1 (2021), 1 (2023), 1 (2025)"
